basho,day,rikishi1_id,rikishi1_rank,rikishi1_shikona,rikishi1_result,rikishi1_win,kimarite,rikishi2_id,rikishi2_rank,rikishi2_shikona,rikishi2_result,rikishi2_win
2011.01,3,39,M9w,Wakanosato,3-0 (8-7),true,yorikiri,1141,M11e,Shotenro,1-2 (8-7),false
2011.01,3,1141,M11e,Shotenro,1-2 (8-7),false,yorikiri,39,M9w,Wakanosato,3-0 (8-7),true
2011.01,3,875,M9e,Takamisakari,2-1 (6-9),false,kubinage,1011,M10w,Hakuba,2-1 (8-7),true
2011.01,3,1011,M10w,Hakuba,2-1 (8-7),true,kubinage,875,M9e,Takamisakari,2-1 (6-9),false
2011.01,3,842,M10e,Miyabiyama,2-1 (6-9),true,hikiotoshi,2818,M8w,Tokitenku,0-3 (6-9),false
2011.01,3,2818,M8w,Tokitenku,0-3 (6-9),false,hikiotoshi,842,M10e,Miyabiyama,2-1 (6-9),true
2011.01,3,813,M8e,Kitataiki,1-2 (9-6),false,kotenage,1284,M7e,Takekaze,2-1 (8-7),true
2011.01,3,1284,M7e,Takekaze,2-1 (8-7),true,kotenage,813,M8e,Kitataiki,1-2 (9-6),false
2011.01,3,6572,M6w,Gagamaru,2-1 (5-10),true,oshitaoshi,7115,M7w,Tosayutaka,0-3 (7-8),false
2011.01,3,7115,M7w,Tosayutaka,0-3 (7-8),false,oshitaoshi,6572,M6w,Gagamaru,2-1 (5-10),true
2011.01,3,41,M6e,Kyokutenho,1-2 (7-8),false,uwatedashinage,6468,M5e,Goeido,1-2 (11-4),true
2011.01,3,6468,M5e,Goeido,1-2 (11-4),true,uwatedashinage,41,M6e,Kyokutenho,1-2 (7-8),false
2011.01,3,1009,M5w,Asasekiryu,1-2 (6-9),false,yorikiri,2930,M4w,Tokusegawa,3-0 (9-6),true
2011.01,3,2930,M4w,Tokusegawa,3-0 (9-6),true,yorikiri,1009,M5w,Asasekiryu,1-2 (6-9),false
2011.01,3,6018,M4e,Homasho,1-2 (8-7),false,hatakikomi,6771,M3e,Aran,2-1 (5-10),true
2011.01,3,6771,M3e,Aran,2-1 (5-10),true,hatakikomi,6018,M4e,Homasho,1-2 (8-7),false
2011.01,3,1226,S1w,Kotoshogiku,3-0 (11-4),true,yorikiri,5944,M3w,Tamawashi,1-2 (5-10),false
2011.01,3,5944,M3w,Tamawashi,1-2 (5-10),false,yorikiri,1226,S1w,Kotoshogiku,3-0 (11-4),true
2011.01,3,1235,S1e,Kisenosato,2-1 (10-5),true,tsukidashi,6473,K1e,Tochiozan,1-2 (6-9),false
2011.01,3,6473,K1e,Tochiozan,1-2 (6-9),false,tsukidashi,1235,S1e,Kisenosato,2-1 (10-5),true
2011.01,3,5967,M2w,Yoshikaze,0-3 (4-11),false,yorikiri,6432,O1w,Baruto,2-1 (9-6),true
2011.01,3,6432,O1w,Baruto,2-1 (9-6),true,yorikiri,5967,M2w,Yoshikaze,0-3 (4-11),false
2011.01,3,7,O1e,Kaio,2-1 (9-6),true,uwatenage,6599,M2e,Tochinoshin,0-3 (4-11),false
2011.01,3,6599,M2e,Tochinoshin,0-3 (4-11),false,uwatenage,7,O1e,Kaio,2-1 (9-6),true
2011.01,3,1111,O2w,Harumafuji,3-0 (8-7),true,yorikiri,1219,K1w,Kakuryu,0-3 (8-7),false
